,victim_AS,victim_peer,timestamp,event_type,label,hijacker_AS,start_time
,196844,43414,1584439800,edges,4,[],2020-03-17 10:10:00
,196892,12874,1584446400,edges,4,[],2020-03-17 12:00:00
,197216,9070,1584350100,edges,4,[],2020-03-16 09:15:00
,197595,48522,1584439200,edges,4,[],2020-03-17 10:00:00
,197727,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,197875,25248,1584445800,edges,4,[],2020-03-17 11:50:00
,197888,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,198349,28716,1584441300,edges,4,[],2020-03-17 10:35:00
,198385,49505,1584351300,edges,4,[],2020-03-16 09:35:00
,198385,2854,1584440400,edges,4,[],2020-03-17 10:20:00
,198507,20278,1584348000,edges,4,[],2020-03-16 08:40:00
,198712,6731,1584443100,edges,4,[],2020-03-17 11:05:00
,198906,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,198930,8283,1584439800,edges,4,[],2020-03-17 10:10:00
,199197,61955,1584442500,edges,4,[],2020-03-17 10:55:00
,199275,23106,1584443700,edges,4,[],2020-03-17 11:15:00
,199319,49102,1584445500,edges,4,[],2020-03-17 11:45:00
,199330,198385,1584440400,edges,4,[],2020-03-17 10:20:00
,199408,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,199599,1136,1584445200,edges,4,[],2020-03-17 11:40:00
,199714,50629,1584441900,edges,4,[],2020-03-17 10:45:00
,199805,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,200015,197595,1584439800,edges,4,[],2020-03-17 10:10:00
,200020,39686,1584439800,edges,4,[],2020-03-17 10:10:00
,200052,23106,1584443700,edges,4,[],2020-03-17 11:15:00
,200430,51907,1584440100,edges,4,[],2020-03-17 10:15:00
,200438,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,200487,28917,1584351000,edges,4,[],2020-03-16 09:30:00
,200487,197595,1584439200,edges,4,[],2020-03-17 10:00:00
,200577,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,200643,8492,1584349200,edges,4,[],2020-03-16 09:00:00
,200750,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,200976,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,201146,49515,1584439500,edges,4,[],2020-03-17 10:05:00
,201201,198385,1584440400,edges,4,[],2020-03-17 10:20:00
,201283,197595,1584439800,edges,4,[],2020-03-17 10:10:00
,201746,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,201776,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,201791,23106,1584443700,edges,4,[],2020-03-17 11:15:00
,202004,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,202050,5617,1584442500,edges,4,[],2020-03-17 10:55:00
,202189,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,202276,49102,1584349500,edges,4,[],2020-03-16 09:05:00
,202297,20473,1584443700,edges,4,[],2020-03-17 11:15:00
,202395,49515,1584439500,edges,4,[],2020-03-17 10:05:00
,202434,39120,1584440400,edges,4,[],2020-03-17 10:20:00
,202805,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,202914,12714,1584349500,edges,4,[],2020-03-16 09:05:00
,202971,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,202984,43414,1584439800,edges,4,[],2020-03-17 10:10:00
,203038,49515,1584439500,edges,4,[],2020-03-17 10:05:00
,203164,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,203536,198385,1584440400,edges,4,[],2020-03-17 10:20:00
,203667,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,203731,197595,1584439800,edges,4,[],2020-03-17 10:10:00
,203779,49515,1584439500,edges,4,[],2020-03-17 10:05:00
,203968,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,203975,49515,1584439800,edges,4,[],2020-03-17 10:10:00
,204006,23106,1584443700,edges,4,[],2020-03-17 11:15:00
,204179,49515,1584439800,edges,4,[],2020-03-17 10:10:00
,204196,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,204523,37541,1584349800,edges,4,[],2020-03-16 09:10:00
,204981,31638,1584350700,edges,4,[],2020-03-16 09:25:00
,204982,49673,1584440700,edges,4,[],2020-03-17 10:25:00
,204995,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,205148,47884,1584351900,edges,4,[],2020-03-16 09:45:00
,205216,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,205608,62081,1584351600,edges,4,[],2020-03-16 09:40:00
,205798,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,205943,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,206071,702,1584440100,edges,4,[],2020-03-17 10:15:00
,206073,197595,1584439200,edges,4,[],2020-03-17 10:00:00
,206774,49515,1584439800,edges,4,[],2020-03-17 10:10:00
,206825,198385,1584440400,edges,4,[],2020-03-17 10:20:00
,207663,202914,1584349500,edges,4,[],2020-03-16 09:05:00
,208844,197595,1584439800,edges,4,[],2020-03-17 10:10:00
,209086,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,209307,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,210256,5394,1584440400,edges,4,[],2020-03-17 10:20:00
,262699,5394,1584443400,edges,4,[],2020-03-17 11:10:00
,262773,42541,1584440100,edges,4,[],2020-03-17 10:15:00
,262911,262408,1584446100,edges,4,[],2020-03-17 11:55:00
,263482,45474,1584441900,edges,4,[],2020-03-17 10:45:00
,263495,57695,1584443700,edges,4,[],2020-03-17 11:15:00
,263528,197595,1584439500,edges,4,[],2020-03-17 10:05:00
