,victim_AS,timestamp,event_type,label,hijacker_AS,start_time
0,10026,1584429000,defcon,5,[],2020-03-17 07:10:00
1,10029,1584435000,defcon,5,[],2020-03-17 08:50:00
2,10139,1584434700,defcon,5,[],2020-03-17 08:45:00
3,10481,1584435000,defcon,5,[],2020-03-17 08:50:00
4,10507,1584434700,defcon,5,[],2020-03-17 08:45:00
5,10821,1584434700,defcon,5,[],2020-03-17 08:45:00
6,11168,1584426900,defcon,5,[],2020-03-17 06:35:00
7,11190,1584435000,defcon,5,[],2020-03-17 08:50:00
8,11452,1584403500,defcon,5,[],2020-03-17 00:05:00
9,12348,1584441000,defcon,5,[],2020-03-17 10:30:00
10,12389,1584434700,defcon,5,[],2020-03-17 08:45:00
11,12479,1584398400,defcon,5,[],2020-03-16 22:40:00
12,1251,1584398100,defcon,5,[],2020-03-16 22:35:00
13,1257,1584423600,defcon,5,[],2020-03-17 05:40:00
14,12975,1584425400,defcon,5,[],2020-03-17 06:10:00
15,13124,1584444300,defcon,5,[],2020-03-17 11:25:00
16,131371,1584436500,defcon,5,[],2020-03-17 09:15:00
17,132730,1584434700,defcon,5,[],2020-03-17 08:45:00
18,132839,1584417000,defcon,5,[],2020-03-17 03:50:00
19,132839,1584432900,defcon,5,[],2020-03-17 08:15:00
20,133676,1584437400,defcon,5,[],2020-03-17 09:30:00
21,13370,1584401400,defcon,5,[],2020-03-16 23:30:00
22,133771,1584411600,defcon,5,[],2020-03-17 02:20:00
23,133771,1584445200,defcon,5,[],2020-03-17 11:40:00
24,134053,1584438900,defcon,5,[],2020-03-17 09:55:00
25,134072,1584434700,defcon,5,[],2020-03-17 08:45:00
26,13428,1584434700,defcon,5,[],2020-03-17 08:45:00
27,134371,1584434700,defcon,5,[],2020-03-17 08:45:00
28,13445,1584435600,defcon,5,[],2020-03-17 09:00:00
29,13485,1584395400,defcon,5,[],2020-03-16 21:50:00
30,134995,1584434700,defcon,5,[],2020-03-17 08:45:00
31,135259,1584410400,defcon,5,[],2020-03-17 02:00:00
32,135817,1584430500,defcon,5,[],2020-03-17 07:35:00
33,136205,1584403500,defcon,5,[],2020-03-17 00:05:00
34,136224,1584434700,defcon,5,[],2020-03-17 08:45:00
35,136525,1584434700,defcon,5,[],2020-03-17 08:45:00
36,136741,1584415200,defcon,5,[],2020-03-17 03:20:00
37,136956,1584440400,defcon,5,[],2020-03-17 10:20:00
38,137951,1584434700,defcon,5,[],2020-03-17 08:45:00
39,138346,1584420000,defcon,5,[],2020-03-17 04:40:00
40,139008,1584425400,defcon,5,[],2020-03-17 06:10:00
41,139300,1584402000,defcon,5,[],2020-03-16 23:40:00
42,139962,1584417600,defcon,5,[],2020-03-17 04:00:00
43,14080,1584401700,defcon,5,[],2020-03-16 23:35:00
44,14754,1584435000,defcon,5,[],2020-03-17 08:50:00
45,14840,1584443100,defcon,5,[],2020-03-17 11:05:00
46,15108,1584421800,defcon,5,[],2020-03-17 05:10:00
47,15153,1584437400,defcon,5,[],2020-03-17 09:30:00
48,1516,1584397800,defcon,5,[],2020-03-16 22:30:00
49,1516,1584405000,defcon,5,[],2020-03-17 00:30:00
50,15399,1584434700,defcon,5,[],2020-03-17 08:45:00
51,15502,1584405300,defcon,5,[],2020-03-17 00:35:00
52,15805,1584440700,defcon,5,[],2020-03-17 10:25:00
53,16604,1584407400,defcon,5,[],2020-03-17 01:10:00
54,17210,1584435000,defcon,5,[],2020-03-17 08:50:00
55,17386,1584434700,defcon,5,[],2020-03-17 08:45:00
56,17439,1584434700,defcon,5,[],2020-03-17 08:45:00
57,17444,1584408300,defcon,5,[],2020-03-17 01:25:00
58,1766,1584418500,defcon,5,[],2020-03-17 04:15:00
59,17741,1584415200,defcon,5,[],2020-03-17 03:20:00
60,17895,1584434700,defcon,5,[],2020-03-17 08:45:00
61,17906,1584437400,defcon,5,[],2020-03-17 09:30:00
62,17917,1584436800,defcon,5,[],2020-03-17 09:20:00
63,18013,1584435000,defcon,5,[],2020-03-17 08:50:00
64,18812,1584434700,defcon,5,[],2020-03-17 08:45:00
65,18859,1584394800,defcon,5,[],2020-03-16 21:40:00
66,18978,1584396000,defcon,5,[],2020-03-16 22:00:00
67,18978,1584435900,defcon,5,[],2020-03-17 09:05:00
68,19108,1584423300,defcon,5,[],2020-03-17 05:35:00
69,19527,1584398400,defcon,5,[],2020-03-16 22:40:00
70,19527,1584432900,defcon,5,[],2020-03-17 08:15:00
71,19527,1584444900,defcon,5,[],2020-03-17 11:35:00
72,196921,1584434700,defcon,5,[],2020-03-17 08:45:00
73,197343,1584431400,defcon,5,[],2020-03-17 07:50:00
74,203534,1584435000,defcon,5,[],2020-03-17 08:50:00
75,204073,1584435900,defcon,5,[],2020-03-17 09:05:00
76,207075,1584445200,defcon,5,[],2020-03-17 11:40:00
77,207636,1584434700,defcon,5,[],2020-03-17 08:45:00
78,209543,1584441900,defcon,5,[],2020-03-17 10:45:00
79,210116,1584434700,defcon,5,[],2020-03-17 08:45:00
80,21050,1584434700,defcon,5,[],2020-03-17 08:45:00
81,21299,1584439200,defcon,5,[],2020-03-17 10:00:00
82,22192,1584435000,defcon,5,[],2020-03-17 08:50:00
83,22205,1584427200,defcon,5,[],2020-03-17 06:40:00
84,22445,1584399000,defcon,5,[],2020-03-16 22:50:00
85,22631,1584428400,defcon,5,[],2020-03-17 07:00:00
86,22706,1584432600,defcon,5,[],2020-03-17 08:10:00
87,22769,1584415800,defcon,5,[],2020-03-17 03:30:00
88,23969,1584407700,defcon,5,[],2020-03-17 01:15:00
89,23969,1584440400,defcon,5,[],2020-03-17 10:20:00
90,24560,1584444600,defcon,5,[],2020-03-17 11:30:00
91,24634,1584439200,defcon,5,[],2020-03-17 10:00:00
92,24658,1584433500,defcon,5,[],2020-03-17 08:25:00
